"Year";"Region";"Population";"Sex";"Length (cm)";"Length (mm)";"Latitude"
2010;"South";"CCVA";"F";1.2;12;37.2678
2010;"South";"CCVA";"F";1.15;11.5;37.2678
2010;"South";"CCVA";"F";1.15;11.5;37.2678
2010;"South";"CCVA";"F";1.15;11.5;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.1;11;37.2678
2010;"South";"CCVA";"F";1.05;10.5;37.2678
2010;"South";"CCVA";"F";1.05;10.5;37.2678
2010;"South";"CCVA";"F";1.05;10.5;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";1;10;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.95;9.5;37.2678
2010;"South";"CCVA";"F";0.9;9;37.2678
2010;"South";"CCVA";"F";0.9;9;37.2678
2010;"South";"CCVA";"F";0.9;9;37.2678
2010;"South";"CCVA";"F";0.9;9;37.2678
2010;"South";"CCVA";"M";1.5;15;37.2678
2010;"South";"CCVA";"M";1.5;15;37.2678
2010;"South";"CCVA";"M";1.5;15;37.2678
2010;"South";"CCVA";"M";1.5;15;37.2678
2010;"South";"CCVA";"M";1.5;15;37.2678
2010;"South";"CCVA";"M";1.5;15;37.2678
2010;"South";"CCVA";"M";1.45;14.5;37.2678
2010;"South";"CCVA";"M";1.45;14.5;37.2678
2010;"South";"CCVA";"M";1.4;14;37.2678
2010;"South";"CCVA";"M";1.4;14;37.2678
2010;"South";"CCVA";"M";1.4;14;37.2678
2010;"South";"CCVA";"M";1.35;13.5;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.3;13;37.2678
2010;"South";"CCVA";"M";1.25;12.5;37.2678
2010;"South";"CCVA";"M";1.25;12.5;37.2678
2010;"South";"CCVA";"M";1.25;12.5;37.2678
2010;"South";"CCVA";"M";1.24;12.4;37.2678
2010;"South";"CCVA";"M";1.2;12;37.2678
2010;"South";"CCVA";"M";1.2;12;37.2678
2010;"South";"CCVA";"M";1.2;12;37.2678
2010;"South";"CCVA";"M";1.2;12;37.2678
2010;"South";"CCVA";"M";1.2;12;37.2678
2010;"South";"CCVA";"M";1.2;12;37.2678
2010;"South";"CCVA";"M";1.15;11.5;37.2678
2010;"South";"CCVA";"M";1.15;11.5;37.2678
2010;"South";"CCVA";"M";1.15;11.5;37.2678
2010;"South";"CCVA";"M";1.15;11.5;37.2678
2010;"South";"CCVA";"M";1.1;11;37.2678
2010;"South";"CCVA";"M";1.1;11;37.2678
2010;"South";"CCVA";"M";1.1;11;37.2678
2010;"South";"CCVA";"M";1.1;11;37.2678
2010;"South";"CCVA";"M";1.1;11;37.2678
2010;"South";"CCVA";"M";1.1;11;37.2678
2010;"South";"CCVA";"M";1.1;11;37.2678
2010;"South";"CCVA";"M";1.05;10.5;37.2678
2010;"South";"CCVA";"M";1;10;37.2678
2010;"South";"CCVA";"M";1;10;37.2678
2010;"South";"CCVA";"M";1;10;37.2678
2010;"South";"CCVA";"M";1;10;37.2678
2010;"South";"CCVA";"M";1;10;37.2678
2010;"South";"CCVA";"M";1;10;37.2678
2010;"North";"Magnolia";"F";1.8;18;42.5745399
2010;"North";"Magnolia";"F";1.7;17;42.5745399
2010;"North";"Magnolia";"F";1.7;17;42.5745399
2010;"North";"Magnolia";"F";1.6;16;42.5745399
2010;"North";"Magnolia";"F";1.55;15.5;42.5745399
2010;"North";"Magnolia";"F";1.55;15.5;42.5745399
2010;"North";"Magnolia";"F";1.55;15.5;42.5745399
2010;"North";"Magnolia";"F";1.55;15.5;42.5745399
2010;"North";"Magnolia";"F";1.55;15.5;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.5;15;42.5745399
2010;"North";"Magnolia";"F";1.45;14.5;42.5745399
2010;"North";"Magnolia";"F";1.45;14.5;42.5745399
2010;"North";"Magnolia";"F";1.45;14.5;42.5745399
2010;"North";"Magnolia";"F";1.45;14.5;42.5745399
2010;"North";"Magnolia";"F";1.45;14.5;42.5745399
2010;"North";"Magnolia";"F";1.45;14.5;42.5745399
2010;"North";"Magnolia";"F";1.45;14.5;42.5745399
2010;"North";"Magnolia";"F";1.45;14.5;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.4;14;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"F";1.35;13.5;42.5745399
2010;"North";"Magnolia";"M";2.65;26.5;42.5745399
2010;"North";"Magnolia";"M";2.5;25;42.5745399
2010;"North";"Magnolia";"M";2.45;24.5;42.5745399
2010;"North";"Magnolia";"M";2.45;24.5;42.5745399
2010;"North";"Magnolia";"M";2.45;24.5;42.5745399
2010;"North";"Magnolia";"M";2.4;24;42.5745399
2010;"North";"Magnolia";"M";2.4;24;42.5745399
2010;"North";"Magnolia";"M";2.4;24;42.5745399
2010;"North";"Magnolia";"M";2.3;23;42.5745399
2010;"North";"Magnolia";"M";2.25;22.5;42.5745399
2010;"North";"Magnolia";"M";2.25;22.5;42.5745399
2010;"North";"Magnolia";"M";2.25;22.5;42.5745399
2010;"North";"Magnolia";"M";2.2;22;42.5745399
2010;"North";"Magnolia";"M";2.2;22;42.5745399
2010;"North";"Magnolia";"M";2.2;22;42.5745399
2010;"North";"Magnolia";"M";2.15;21.5;42.5745399
2010;"North";"Magnolia";"M";2.15;21.5;42.5745399
2010;"North";"Magnolia";"M";2.1;21;42.5745399
2010;"North";"Magnolia";"M";2.1;21;42.5745399
2010;"North";"Magnolia";"M";2.05;20.5;42.5745399
2010;"North";"Magnolia";"M";2.05;20.5;42.5745399
2010;"North";"Magnolia";"M";2.05;20.5;42.5745399
2010;"North";"Magnolia";"M";2.05;20.5;42.5745399
2010;"North";"Magnolia";"M";2.05;20.5;42.5745399
2010;"North";"Magnolia";"M";2;20;42.5745399
2010;"North";"Magnolia";"M";2;20;42.5745399
2010;"North";"Magnolia";"M";1.95;19.5;42.5745399
2010;"North";"Magnolia";"M";1.95;19.5;42.5745399
2010;"North";"Magnolia";"M";1.95;19.5;42.5745399
2010;"North";"Magnolia";"M";1.95;19.5;42.5745399
2010;"North";"Magnolia";"M";1.95;19.5;42.5745399
2010;"North";"Magnolia";"M";1.9;19;42.5745399
2010;"North";"Magnolia";"M";1.9;19;42.5745399
2010;"North";"Magnolia";"M";1.9;19;42.5745399
2010;"North";"Magnolia";"M";1.9;19;42.5745399
2010;"North";"Magnolia";"M";1.9;19;42.5745399
2010;"North";"Magnolia";"M";1.8;18;42.5745399
2010;"North";"Magnolia";"M";1.8;18;42.5745399
2010;"North";"Magnolia";"M";1.8;18;42.5745399
2010;"North";"Magnolia";"M";1.8;18;42.5745399
2010;"North";"Magnolia";"M";1.8;18;42.5745399
2010;"North";"Magnolia";"M";1.8;18;42.5745399
2010;"North";"Magnolia";"M";1.75;17.5;42.5745399
2010;"North";"Magnolia";"M";1.75;17.5;42.5745399
2010;"North";"Magnolia";"M";1.7;17;42.5745399
2010;"North";"Magnolia";"M";1.7;17;42.5745399
2010;"North";"Magnolia";"M";1.7;17;42.5745399
2010;"North";"Magnolia";"M";1.7;17;42.5745399
2010;"North";"Magnolia";"M";1.65;16.5;42.5745399
2010;"North";"Magnolia";"M";1.6;16;42.5745399
2010;"North";"Nahant";"F";1.5;15;42.427096
2010;"North";"Nahant";"F";1.5;15;42.427096
2010;"North";"Nahant";"F";1.5;15;42.427096
2010;"North";"Nahant";"F";1.5;15;42.427096
2010;"North";"Nahant";"F";1.5;15;42.427096
2010;"North";"Nahant";"F";1.4;14;42.427096
2010;"North";"Nahant";"F";1.4;14;42.427096
2010;"North";"Nahant";"F";1.4;14;42.427096
2010;"North";"Nahant";"F";1.4;14;42.427096
2010;"North";"Nahant";"F";1.4;14;42.427096
2010;"North";"Nahant";"F";1.4;14;42.427096
2010;"North";"Nahant";"F";1.4;14;42.427096
2010;"North";"Nahant";"F";1.4;14;42.427096
2010;"North";"Nahant";"F";1.4;14;42.427096
2010;"North";"Nahant";"F";1.35;13.5;42.427096
2010;"North";"Nahant";"F";1.35;13.5;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.3;13;42.427096
2010;"North";"Nahant";"F";1.25;12.5;42.427096
2010;"North";"Nahant";"F";1.25;12.5;42.427096
2010;"North";"Nahant";"F";1.25;12.5;42.427096
2010;"North";"Nahant";"F";1.25;12.5;42.427096
2010;"North";"Nahant";"F";1.25;12.5;42.427096
2010;"North";"Nahant";"F";1.25;12.5;42.427096
2010;"North";"Nahant";"F";1.25;12.5;42.427096
2010;"North";"Nahant";"F";1.2;12;42.427096
2010;"North";"Nahant";"F";1.2;12;42.427096
2010;"North";"Nahant";"F";1.2;12;42.427096
2010;"North";"Nahant";"F";1.2;12;42.427096
2010;"North";"Nahant";"F";1.2;12;42.427096
2010;"North";"Nahant";"F";1.2;12;42.427096
2010;"North";"Nahant";"F";1.2;12;42.427096
2010;"North";"Nahant";"F";1.2;12;42.427096
2010;"North";"Nahant";"F";1.15;11.5;42.427096
2010;"North";"Nahant";"F";1.15;11.5;42.427096
2010;"North";"Nahant";"F";1.15;11.5;42.427096
2010;"North";"Nahant";"F";1.1;11;42.427096
2010;"North";"Nahant";"F";1.1;11;42.427096
2010;"North";"Nahant";"F";1.1;11;42.427096
2010;"North";"Nahant";"F";1.1;11;42.427096
2010;"North";"Nahant";"F";1;10;42.427096
2010;"North";"Nahant";"F";1;10;42.427096
2010;"North";"Nahant";"M";2.7;27;42.427096
2010;"North";"Nahant";"M";2.3;23;42.427096
2010;"North";"Nahant";"M";2.15;21.5;42.427096
2010;"North";"Nahant";"M";2.1;21;42.427096
2010;"North";"Nahant";"M";2.1;21;42.427096
2010;"North";"Nahant";"M";2.05;20.5;42.427096
2010;"North";"Nahant";"M";2;20;42.427096
2010;"North";"Nahant";"M";2;20;42.427096
2010;"North";"Nahant";"M";1.95;19.5;42.427096
2010;"North";"Nahant";"M";1.9;19;42.427096
2010;"North";"Nahant";"M";1.9;19;42.427096
2010;"North";"Nahant";"M";1.9;19;42.427096
2010;"North";"Nahant";"M";1.8;18;42.427096
2010;"North";"Nahant";"M";1.8;18;42.427096
2010;"North";"Nahant";"M";1.8;18;42.427096
2010;"North";"Nahant";"M";1.8;18;42.427096
2010;"North";"Nahant";"M";1.7;17;42.427096
2010;"North";"Nahant";"M";1.7;17;42.427096
2010;"North";"Nahant";"M";1.7;17;42.427096
