ID,PackNumber,StudyArea,CoyoteAncestry(Logit),PrimaryRds,SecondaryRds,TertiaryRds,Deer,Moose,east,north
49-2,1,Out,-0.834473518,0.088,0.499,0.015,0.087,0.112,1358690,12086700
49-3,2,Out,-2.408854287,0.000,0.302,0.188,0.000,0.382,1346840,12099300
49-4,2,Out,-3.896934876,0.000,0.500,0.164,0.057,0.385,1343380,12100000
49-7,2,Out,-2.699548556,0.000,0.500,0.164,0.057,0.385,1343380,12100000
49-8,3,Out,-0.142641364,0.000,0.206,0.288,0.001,0.213,1359610,12097200
49-9,1,Out,2.116535666,0.088,0.499,0.015,0.087,0.112,1358690,12086700
49-11,3,Out,1.320711156,0.000,0.206,0.288,0.001,0.213,1359610,12097200
49-12,4,Out,2.783907583,0.138,0.320,0.269,0.035,0.069,1369480,12084800
49-13,5,Out,1.471596995,0.026,0.756,0.194,0.088,0.177,1344620,12090900
49-14,6,Out,2.243633992,0.000,0.731,0.301,0.011,0.219,1361250,12104500
49-15,7,Out,1.529956845,0.197,0.688,0.115,0.043,0.247,1327740,12120600
49-43,8,Out,-3.140933844,0.000,0.000,0.301,0.000,0.294,1315624.653,12141186.84
49-16,9,Out,3.735726182,0.000,0.460,0.150,0.039,0.413,1338520,12105500
49-17,10,Out,0.734536565,0.036,0.454,0.178,0.415,0.324,1344030,12120600
49-18,11,Out,-0.283891428,0.195,0.390,0.283,0.039,0.067,1368710,12083800
49-19,12,Out,1.969896539,0.000,0.384,0.348,0.018,0.151,1366550,12094400
49-20,13,Out,2.572945942,0.000,0.832,0.268,0.115,0.136,1374040,12103000
49-21,11,Out,3.808504111,0.195,0.390,0.283,0.039,0.067,1368710,12083800
49-22,13,Out,1.86432271,0.000,0.832,0.268,0.115,0.136,1374040,12103000
49-23,5,Out,3.647277956,0.026,0.756,0.194,0.088,0.177,1344620,12090900
49-44,14,Out,2.965693764,0.955,1.619,0.331,0.066,0.137,1322700,12093301
49-25,5,Out,2.153549514,0.026,0.756,0.194,0.088,0.177,1344620,12090900
49-26,6,Out,3.337707873,0.000,0.731,0.301,0.011,0.232,1361250,12104500
49-45,12,Out,1.969896539,0.000,0.384,0.348,0.018,0.151,1366550,12094400
49-30,4,Out,2.713181707,0.138,0.320,0.269,0.035,0.069,1368240,12084200
49-32,12,Out,3.17805383,0.000,0.384,0.348,0.018,0.151,1366550,12094400
49-34,15,Out,0.007200031,0.323,0.914,0.234,0.156,0.172,1335510,12091900
49-35,15,Out,2.364756146,0.323,0.914,0.234,0.156,0.172,1335510,12091900
49-46,16,Out,3.584547216,0.000,0.165,0.695,0.226,0.344,1351600,12114500
49-36,10,Out,-0.377209946,0.036,0.454,0.178,0.415,0.324,1344030,12120600
AP-36,17,APP,-1.309323913,0.000,0.149,0.291,0.000,0.127,1461320,12144200
AP-37,18,APP,-3.635228273,0.090,0.102,0.876,0.000,0.319,1434570,12121900
49-47,19,Out,3.078568279,0.242,1.012,0.426,0.053,0.084,1375160,12094100
49-40,6,Out,3.539828044,0.000,0.731,0.301,0.011,0.219,1361250,12104500
KH-1,20,Out,-4.016332121,0.000,0.132,0.310,0.058,0.435,1459760,12047200
KH-7,21,Out,1.807009032,0.105,0.573,0.260,0.269,0.219,1468100,12069400
KH-8,22,Out,1.916968495,0.190,0.916,0.059,0.429,0.071,1463578.45,12025985.74
KH-12,23,Out,-0.564097104,0.000,0.056,0.609,0.000,0.202,1459950,12026100
KH-13,24,Out,-0.101286502,0.000,0.189,0.361,0.030,0.314,1469420,12061300
KH-14,25,Out,1.881645346,0.079,0.430,0.408,0.000,0.234,1480840,12056600
KH-15,22,Out,3.554525524,0.190,0.916,0.059,0.429,0.071,1463578.45,12025985.74
KH-16,23,Out,2.523894078,0.000,0.056,0.609,0.000,0.202,1459950,12026100
KH-17,26,Out,-3.050404808,0.052,0.536,0.120,0.044,0.399,1467330,12053900
KH-18,27,Out,-4.33754404,0.000,0.000,0.319,0.000,0.278,1469450,12046300
KH-19,28,Out,-4.254599025,0.039,0.136,0.188,0.053,0.149,1469020,12029500
KH-20,28,Out,-3.302077136,0.039,0.136,0.188,0.053,0.149,1469020,12029500
KH-3,20,Out,1.563814307,0.000,0.132,0.310,0.058,0.435,1459760,12047200
KH-4,29,Out,2.13755395,0.000,0.688,0.539,0.993,0.121,1480320,12031700
KH-5,30,Out,3.748992436,0.088,0.306,1.141,0.998,0.119,1477090,12029900
KH-6,24,Out,-4.112704994,0.000,0.189,0.361,0.030,0.314,1469420,12061300
47-14,31,Out,-0.639763511,0.000,0.185,0.600,0.000,0.282,1284180,12150000
47-7,32,Out,2.613101108,0.160,0.289,0.119,0.000,0.209,1266680,12172900
KH-21,30,Out,1.14556547,0.088,0.306,1.141,0.998,0.119,1477090,12029900
AP-4,33,APP,-4.410776048,0.000,0.082,0.816,0.000,0.389,1411350,12129200
AP-5,34,APP,-2.686075939,0.115,0.216,0.962,0.128,0.311,1411200,12104600
AP-6,35,APP,-2.97215044,0.069,0.035,0.840,0.000,0.324,1434570,12121900
AP-8,36,APP,-4.087757257,0.000,0.322,0.653,0.087,0.400,1391720,12129300
AP-9,37,APP,-1.941346536,0.000,0.144,0.298,0.011,0.115,1436910,12170800
AP-10,37,APP,-2.713181707,0.000,0.144,0.298,0.011,0.115,1436910,12170800
AP-11,38,APP,-3.94413348,0.000,0.005,0.392,0.000,0.327,1410830,12146300
AP-12,39,APP,-3.735726182,0.000,0.000,0.366,0.055,0.220,1431050,12153700
AP-13,40,APP,-3.383976784,0.037,0.001,0.400,0.000,0.255,1437240,12137800
AP-14,33,APP,-1.956927015,0.000,0.077,0.816,0.000,0.395,1411350,12129200
AP-15,36,APP,-3.406272746,0.000,0.322,0.653,0.087,0.400,1391720,12129300
AP-16,34,APP,-3.486458256,0.115,0.216,0.962,0.128,0.311,1411200,12104600
AP-41,33,APP,-4.18459144,0.000,0.077,0.816,0.000,0.395,1411350,12129200
AP-17,18,APP,-1.203799479,0.090,0.102,0.876,0.000,0.319,1434570,12121900
AP-18,46,APP,-4.410776048,0.000,0.000,0.480,0.001,0.338,1432480,12108400
AP-19,47,APP,3.511030638,0.000,0.104,0.520,0.039,0.285,1447040,12110400
AP-20,46,APP,-4.254599025,0.000,0.000,0.608,0.000,0.339,1432480,12108400
AP-1,40,APP,-3.599883882,0.035,0.000,0.355,0.000,0.256,1437200,12137800
AP-23,47,APP,3.623314766,0.000,0.104,0.520,0.039,0.285,1447040,12110400
AP-24,41,APP,1.209440856,0.061,0.039,0.751,0.000,0.307,1427600,12124500
AP-25,42,APP,-3.808504111,0.012,0.116,0.870,0.010,0.405,1407900,12113000
AP-26,40,APP,-3.886730711,0.034,0.000,0.347,0.000,0.263,1436910,12136700
AP-27,40,APP,-4.171143147,0.004,0.001,0.382,0.000,0.258,1437240,12137800
AP-28,43,APP,-2.978644965,0.000,0.079,0.781,0.000,0.463,1399090,12126100
AP-29,18,APP,-3.445611622,0.090,0.102,0.876,0.000,0.319,1434570,12121900
AP-30,39,APP,-2.358405163,0.000,0.000,0.366,0.055,0.220,1431050,12153700
AP-31,41,APP,-4.151293874,0.061,0.039,0.751,0.000,0.307,1427600,12124500
AP-32,44,APP,-2.603710505,0.000,0.357,0.343,0.422,0.216,1468400,12095100
AP-33,17,APP,-3.442277407,0.000,0.149,0.291,0.000,0.127,1461320,12144200
AP-34,43,APP,-4.063397222,0.000,0.079,0.781,0.000,0.463,1399090,12126100
AP-35,38,APP,-1.990537587,0.000,0.005,0.392,0.000,0.327,1410830,12146300
AP-3,45,APP,-4.219000477,0.000,0.062,0.289,0.055,0.148,1444700,12154000
