Year,Distance,MHT,Zone
1975,253.1875,933,M
1976,229.75,877,M
1977,243.8125,963,M
1978,243.8125,957,M
1979,211,967,M
1980,211,990,M
1981,196.9375,1027,M
1982,182.875,990,M
1983,173.5,1053,M
1984,201.625,953,M
1985,206.3125,960,M
1986,220.375,957,M
1987,196.9375,960,M
1988,201.625,1047,M
1989,211,977,M
1990,201.625,1043,M
1991,215.6875,933,M
1992,215.6875,980,M
1993,211,977,M
1994,201.625,1013,M
1995,182.875,1023,M
1996,215.6875,875,M
1997,225.0625,966,M
1998,225.0625,1055,M
1999,206.3125,1057,M
2000,206.3125,1034,M
2001,225.0625,1033,M
2002,239.125,1000,M
2003,225.0625,1004,M
1975,103.5,933,P
1976,150.375,877,P
1977,117.5625,963,P
1978,131.625,957,P
1979,145.6875,967,P
1980,141,990,P
1981,128.625,1027,P
1982,102,990,P
1983,95.8125,1053,P
1984,56.625,953,P
1985,73.875,960,P
1986,66,957,P
1987,91.125,960,P
1988,58.3125,1047,P
1989,73.875,977,P
1990,66,1043,P
1991,53.625,933,P
1992,59.8125,980,P
1993,61.3125,977,P
1994,63,1013,P
1995,39.5625,1023,P
1996,101.8125,875,P
1997,106.5,966,P
1998,53.625,1055,P
1999,20.8125,1057,P
2000,70.6875,1034,P
2001,0,1033,P
2002,5.1875,1000,P
2003,37.875,1004,P
1975,234.5,933,PP
1976,314.1875,877,PP
1977,248.5625,963,PP
1978,272,957,PP
1979,290.75,967,PP
1980,272,990,PP
1981,276.6875,1027,PP
1982,272,990,PP
1983,272,1053,PP
1984,251.75,953,PP
1985,248.5625,960,PP
1986,262.625,957,PP
1987,318.875,960,PP
1988,262.625,1047,PP
1989,234.5,977,PP
1990,292.25,1043,PP
1991,229.8125,933,PP
1992,257.9375,980,PP
1993,248.5625,977,PP
1994,243.875,1013,PP
1995,229.8125,1023,PP
1996,332.9375,875,PP
1997,392.1875,966,PP
1998,229.8125,1055,PP
1999,206.375,1057,PP
2000,223.625,1034,PP
2001,145.4,1033,PP
2002,140.875,1000,PP
2003,192.3125,1004,PP
